Year Level/ Requirement,Class #,Sbjct,Crs #,Sect#,Course Name,Cr.,Hrs, Instructor,Enr Cap,Days,Start Time.1,End Time.1,Classroom Type,Room #
"ME,EE",56236.0,MATH,231,,Differential Equations,3,3.0,Borghol,,TR,,,,C209
"ME,EE",56472.0,MATH,231,,Differential Equations,3,3.0,Borghol,,TR,,,,C005
IE,56237.0,MATH,233,,Linear Systems and Diff Eq,4,4.0,Sayyad,,MW,,,,E217
"ME, EE, Csec",56238.0,MATH,241,,Linear Algebra,,3.0,Al-Khamaiseh,,TR,,,,E103
"ME, EE, Csec",56374.0,MATH,241,,Linear Algebra,,3.0,Al-Khamaiseh,,TR,,,,D113
NatSci,56242.0,PHYS,111,,College Physics I,,4.0,Ahmad,,TR,,,,NO/Tutoring center
,56243.0,PHYS,111,60L1,College Physics I Workshop,,2.0,TBD,,W,,,Physics Lab (B108),B108
"EE, IE, LabSci(CSec)",56244.0,PHYS,211,,Univ Physics I,4,6.0,Ahmad,,TR,,,Regular Classroom (46 Cap),E114
"EE, IE, ME, LabSci(CSec)",56245.0,PHYS,212,,Univ Physics II,4,6.0,Ahmad,,MWF,,,Regular Classroom (46 Cap),C108
"Bus, CIT",56239.0,STAT,,,Introduction to Statistics I,3,3.0,TBD,,MW,,,,D114
"Bus, CIT",56531.0,STAT,,,Introduction to Statistics I,3,3.0,Abdelwahed,,TR,,,,E103
"Bus, CIT",57182.0,STAT,145,,Introduction to Statistics I,3,3.0,Abdelwahed,30,MWF,,,,B210
Bus,56240.0,STAT,146,,Introduction to Statistics II,4,4.0,Abdelwahed,,MW,,,,C209
Bus,56336.0,STAT,146,,Introduction to Statistics II,4,4.0,Maki,,TR,,,,D114
Bus,57183.0,STAT,146,,Introduction to Statistics II,4,4.0,TBD,30,MW,,,,B004
ME,56241.0,STAT,205,,Applied Statistics,3,3.0,TBD,,TR,,,,C109
