,Class #,Subject,Cat#,Sect#,Course Name,Crdt,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Room #
2 Csec,,MATH,190,,Discrete Math for Computing,3,,Salam,30,TR,1:30 PM,,E-113
"2 ME, EE",,MATH,219,,Multivariable Calculus,3,,Maki,30,TR,12:00 AM,,C-109
"2 ME, EE",,MATH,219,,Multivariable Calculus,3,,Maki,30,TR,1:30 PM,,C-107
2 EE,,MATH,220,,Vector Calculus,1,,Maki,30,W,11:10 AM,,B-004
"2 ME,EE",,MATH,231,,Differential Equations,3,,Borghol,30,TR,9:00 AM,,E-114
"3/4 ME, EE, CSec",,MATH,241,,Linear Algebra,3,,Sayyad,30,TR,9:00 AM,,C-209
"3/4 ME, EE, CSec",,MATH,241,,Linear Algebra,3,,Sayyad,30,TR,10:30 AM,,E-114
"3/4 EE, Csec, 2 IE",,MATH,251,,Probability & Stats I,3,,Hasib,30,TR,1:30 PM,,C-107
"3/4 EE, Csec, 2 IE",,MATH,251,,Probability & Stats I,3,,Hasib,30,TR,3:00 PM,,C-107
3/4 ME,,MATH,326,,BVPs,3,,Maki,30,MW,1:05 PM,,C-107
4 EE,,MATH,381,,Complex Variables,3,,Maki,30,MW,2:35 PM,,E-114
,,PHYS,207,,Univ Phys I: AP-C Waves,1,,Salameh,30,TBD,TBD,TBD,TBD
"EE, CSec",,PHYS,211,,Univ Physics I,4,,Salameh,30,MWF,,,D-207
"ME,EE,CSec",,PHYS,212,,Univ Physics II,4,,Salameh,30,MW,,,B-211
