Class #,Subject,Cat#,Sect#,Course Name,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Classroom Type,Room #
16870.0,MATH,251,601,Probability & Stats I,3,Manisha Kankarej,30,MW,16:05:00,17:25:00,Regular Classroom (30 Cap),
17653.0,MATH,251,60R2,Recitation,3,Manisha Kankarej,30,F,16:00:00,16:55:00,Regular Classroom (30 Cap),
17078.0,MATH,251,602,Probability & Stats I,3,Manisha Kankarej,30,TR,12:00:00,13:20:00,Regular Classroom (30 Cap),
17654.0,MATH,251,60R3,Recitation,3,Manisha Kankarej,30,F,15:00:00,15:55:00,Regular Classroom (30 Cap),
16701.0,MATH,326,600,Boundary Value Problems,3,Maki,30,TR,09:00:00,10:20:00,Regular Classroom (30 Cap),
16709.0,MATH,381,600,Complex Variables,3,Maki,30,MW,14:35:00,15:55:00,Regular Classroom (30 Cap),
16814.0,PHYS,211,600,Univ Physics I,6,Ahmad,30,TR,10:30:00,13:20:00,Regular Classroom (46 Cap),
16815.0,PHYS,212,600,Univ Physics II,6,Ahmad,30,MWF,09:00:00,10:50:00,Regular Classroom (46 Cap),
16712.0,STAT,145,600,Intro Statistics I,3,Manisha Kankarej,30,TR,15:00:00,16:20:00,Regular Classroom (46 Cap),
16813.0,STAT,145,601,Intro Statistics I,3,TBD,30,TR,16:30:00,17:50:00,Regular Classroom (46 Cap),
17013.0,STAT,145,602,Intro Statistics I,3,TBD,30,MW,14:35:00,15:55:00,Regular Classroom (46 Cap),
17090.0,STAT,145,603,Intro Statistics I,3,TBD,30,MWF,10:05:00,11:00:00,Regular Classroom (46 Cap),
17504.0,STAT,145,604,Intro Statistics I,3,TBD,30,MW,16:05:00,17:25:00,Regular Classroom (46 Cap),
